term,slug,aliases,categories,short_definition,source_name,source_section,entry_method,priority,issue_flags,review_notes
HRHS,hrhs,,Conditions;Tests & Imaging;Anatomy,"Hypoplastic right heart syndrome, characterized by a very small and non-functioning right ventricle and problems with the tricuspid valve (absent or non-functioning)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
HTN,htn,,Conditions;Symptoms & Monitoring,"Hypertension, high blood pressure in the vessels that carry blood from the heart to the body",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Hypertension,hypertension,,Conditions;Symptoms & Monitoring,Commonly called high blood pressure.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Pulmonary Hypertension'
Hypertrophy,hypertrophy,,General Medical Terms,Enlargement of a tissue or organ due to increase in the size of its cells.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms,
Hypoplastic,hypoplastic,,Conditions,When an organ does not completely develop or stops developing.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,short_equals_full_definition,
Hypotension,hypotension,low blood pressure,Symptoms & Monitoring,Blood pressure below the normal range.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Hypoxia,hypoxia,,Devices & Equipment;Symptoms & Monitoring,Less than normal content of oxygen in the organs and tissues of the body.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
IAA,iaa,,Conditions;Anatomy,"Interrupted aortic arch, in which the aortic arch is divided or interrupted and a hole in the muscle wall between the two ventricles (VSD)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Ischemia,ischemia,,General Medical Terms,Lack of blood supply to an organ or tissue,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_general_medical_terms;missing_period;short_equals_full_definition,
Isoproterenol,isoproterenol,,Medications,A drug that can be used as a cardiac stimulant to treat an abnormally slow heartbeat and to increase the strength of the heart’s pumping.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Jantene Operation,jantene-operation,,Procedures & Surgeries,A type of arterial switch surgical procedure,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
L-TGA,l-tga,,Conditions;Procedures & Surgeries;Anatomy,"A condition in which the ventricles are on the opposite side of the heart compared to a normal heart, and the pulmonary artery and aorta are also switched",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'TGA'
LA,la,,Anatomy,"Left atrium, the left of the two top chambers of the heart",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Lanoxin,lanoxin,,Medications,See Digoxin.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
MI,mi,,Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,"Myocardial infarction, a heart muscle that dies due to lack of oxygen, usually called a heart attack when it occurs in an adult",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
Mitral Valve,mitral-valve,,Anatomy,A valve of two leaflets between the left atrium and left ventricle,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Mitral Valve Stenosis' | Another normalized term is substring: 'Valve'
Mitral Valve Stenosis,mitral-valve-stenosis,,Conditions;Tests & Imaging;Anatomy,A narrowing of the mitral valve situated between the upper and lower chambers on the left side of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Mitral Valve' | Another normalized term is substring: 'Stenosis' | Another normalized term is substring: 'Valve'
MPA,mpa,,Devices & Equipment;Anatomy;Symptoms & Monitoring,"Main pulmonary artery, one of the two main vessels that carries un-oxygenated blood from the heart to the lungs",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
MRI/CT Scans,mri_ct_scans,MRI;CT;MRI/CT,Tests & Imaging;Devices & Equipment,Two tests that provide detailed images of how the heart is structured and functioning.,Mended Little Hearts,common_tests_and_procedures,manual,2,definition_very_long,
Murmur,murmur,,Symptoms & Monitoring,An extra heart sound that may be heard between normal heart sounds.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,,
Myocarditis,myocarditis,,Tests & Imaging,"An inflammation of the heart muscle, usually caused by a virus or bacteria",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Non-invasive,non-invasive,,Tests & Imaging,"This term typically describes tests that are performed on babies, children with CHD or pregnant mothers.",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,,
Non-Stress Test,non-stress-test,fetal non-stress test,Tests & Imaging,A test done by the obstetrician that monitors a baby’s heart rate and allows doctors to see whether your baby’s heart rate pattern is normal and varying with movements.,Mended Little Hearts,common_prenatal_tests_and_procedures,manual,2,definition_very_long;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Stress Test'
Norwood Procedure,norwood-procedure,,Conditions;Procedures & Surgeries;Tests & Imaging;Anatomy,The first of a series of open-heart surgeries that are typically used for single-ventricle defects.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high,
OHS,ohs,,Procedures & Surgeries;Devices & Equipment,"Open-heart surgery, surgery performed on the open heart while the blood flow is diverted through the heart-lung machine",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Open-Heart Surgery,open-heart-surgery,,Procedures & Surgeries;Devices & Equipment,Surgery performed inside the heart with the aid of a heart-lung machine.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Organic Heart Disease,organic-heart-disease,,Tests & Imaging,A structural abnormality of the heart or great vessels.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Heart Disease'
PA,pa,,Devices & Equipment;Anatomy;Symptoms & Monitoring,"Pulmonary artery, a vessel that carries un- oxygenated blood from the heart to the lungs",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
Pa02,pa02,,Devices & Equipment;Symptoms & Monitoring,"Partial pressure of oxygen, a measure of oxygen in arterial blood",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Pacemaker,pacemaker,"the sinoatrial node, or SA node",Conditions;Tests & Imaging;Devices & Equipment;Anatomy,"A small mass of specialized cells in the right atrium of the heart, which gives rise to the electrical impulses that initiate contractions of the heart.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;definition_very_long,
Palliative Care,palliative-care,,General Medical Terms,Treating symptoms without curing the underlying cause. ,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_general_medical_terms;short_equals_full_definition,
Palpitations,palpitations,,General Medical Terms,A single or multiple irregular beat usually felt as a skip or momentary cessation of the heartbeat.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
PAPVR,papvr,,Anatomy,"Partial anomalous pulmonary venous return, where one or more of the pulmonary veins carries blood from the lung to the right side of the heart instead of the left atrium",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Patent Ductus Arteriosus,patent-ductus-arteriosus,,Conditions;Tests & Imaging;Devices & Equipment;Anatomy,"A congenital heart defect in which a small duct, or tube, between the artery leaving the left side of the heart, the aorta, and the artery leaving the right side of the heart, the pulmonary",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;definition_very_long;missing_period,
Patent Foramen Ovale,patent-foramen-ovale,,General Medical Terms,"An oval hole, called the foramen ovale, between the left and right upper chambers of the heart, which normally closes shortly after birth, remains open.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Foramen Ovale'
PDA,pda,,Tests & Imaging;Anatomy,"Patent ductus arteriousus, in which the small vessel in the fetal anatomy that connects the aorta to the pulmonary artery remains open.",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term,
Pericarditis,pericarditis,,General Medical Terms,"Inflammation of the membrane sac, the pericardium, which surrounds the heart.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Pericardium,pericardium,,General Medical Terms,A closed tissue sac surrounding the heart and vessels close to the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms,
Persistent Truncus Arteriosus,persistent-truncus-arteriosus,,Conditions;Tests & Imaging;Anatomy,"A congenital cardiac defect, characterized by a single arterial trunk arising from the heart receiving blood from both pumping chambers, the ventricles, and the pulmonary artery.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Truncus'
PFO,pfo,,Anatomy,"Patent foramen ovalae, an opening that allows blood to go back and forth between the right and left atrium that normally closes soon after birth",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
PGE1,pge1,,Tests & Imaging;Medications;Anatomy,"Prostaglandin E1, medication administered to maintain the patency (openness) of the ductus arteriosus (a blood vessel connecting the pulmonary artery to the proximal descending aorta)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high;missing_period;short_equals_full_definition,
Prostaglandins,prostaglandins,,Medications,"Hormone-like substances made from fatty acids, which are found throughout the body tissues.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
PS,ps,,Conditions;Anatomy,"Pulmonary stenosis, a condition in which the valve and/or the area in the right ventricle where the blood goes into the pulmonary artery is blocked, possibly from narrowing",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Pulmonary,pulmonary,,Anatomy,Pertaining to the lungs.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Pulmonary Artery' | Normalized term is substring of another: vs 'Pulmonary Edema' | Normalized term is substring of another: vs 'Pulmonary Hypertension' | Normalized term is substring of another: vs 'Pulmonary Valve Stenosis' | Normalized term is substring of another: vs 'Pulmonic (pulmonary) Valve'
Pulmonary Artery,pulmonary-artery,,Devices & Equipment;Anatomy;Symptoms & Monitoring,The large artery that normally conveys unoxygenated blood from the lower right chamber of the heart to the lungs.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Artery' | Another normalized term is substring: 'Pulmonary'
Pulmonary Edema,pulmonary-edema,,Anatomy,"Congestion of lung tissues often resulting from critical, congenital, or acquired heart or lung disease.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Edema' | Another normalized term is substring: 'Pulmonary'
Pulmonary Hypertension,pulmonary-hypertension,,Conditions;Tests & Imaging;Anatomy;Symptoms & Monitoring,"High blood pressure, or hypertension, in the blood vessels of the lungs.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Hypertension' | Another normalized term is substring: 'Pulmonary'
Pulmonary Valve Stenosis,pulmonary-valve-stenosis,,Conditions;Tests & Imaging;Anatomy,"A congenital heart defect in which there is a narrowing of the pulmonary valve, which is situated between the right lower chamber, or the ventricle, and the pulmonary artery.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Pulmonary' | Another normalized term is substring: 'Stenosis' | Another normalized term is substring: 'Valve'
Pulmonic (pulmonary) Valve,pulmonic-pulmonary-valve,,Anatomy,The heart valve between the right ventricle and pulmonary artery.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_contains_parentheses_but_no_alias;term_nested_inside_another_term,Another normalized term is substring: 'Pulmonary' | Another normalized term is substring: 'Valve'
Pulse Oximetry,pulse-oximetry,pulse ox,Tests & Imaging,A common test that measures how much oxygen is circulating in the blood at any given time.,Mended Little Hearts,common_tests_and_procedures,manual,2,definition_very_long,
PV,pv,,Anatomy,"Pulmonary valve, the valve between the right ventricle and pulmonary artery",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
RA,ra,,Anatomy,"Right atrium, the right of the two top chambers of the heart",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Radioisotopic Scanning,radioisotopic-scanning,,Conditions;Tests & Imaging,A diagnostic technique involving radioactive labeling of tissues and organs by the injection of radioisotopes (minimally radioactive material) into the bloodstream.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Regurgitation,regurgitation,,Anatomy,The abnormal backward flowing of blood through a valve of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Rheumatic Heart Disease,rheumatic-heart-disease,,Anatomy,"A complication of rheumatic fever in which damage results to all layers of the heart, particularly the valves.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Heart Disease'
Rubella,rubella,,General Medical Terms,Commonly known as German measles.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
SBE,sbe,,Tests & Imaging,See Bacterial Endocarditis.,Children's Heart Foundation,glossary_of_terms,scraped,2,aliases_empty_for_acronym_like_term;short_equals_full_definition,
Septa,septa,,Anatomy,The muscular walls dividing the two chambers on the left side of the heart from the two chambers on the right.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Septum,septum,,Anatomy,A dividing wall in the heart,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Atrial Septum'
Shock,shock,,Conditions;Tests & Imaging,Collapse of the circulation related to a congenital heart defect or acquired heart disease or loss of blood volume.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Shunt,shunt,,Procedures & Surgeries,"A passage between two blood vessels or between the two sides of the heart, as in cases where an opening exists in the wall that normally separates them.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'BT Shunt' | Normalized term is substring of another: vs 'Glenn or Bidirectional Glenn Shunt'
Sphygmomanometer,sphygmomanometer,,Symptoms & Monitoring,An instrument for measuring blood pressure in the arteries.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Stenosis,stenosis,,Conditions;Tests & Imaging;Anatomy,A narrowing or stricture of an opening.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Aortic Stenosis' | Normalized term is substring of another: vs 'Mitral Valve Stenosis' | Normalized term is substring of another: vs 'Pulmonary Valve Stenosis'
Stress Test,stress-test,,Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,A diagnostic method used to determine the body’s response to physical stress.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Non-Stress Test'
SV,sv,,Tests & Imaging;Anatomy,"Single ventricle, where there is only one functional ventricle",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
SVC,svc,,Anatomy,"Superior vena cava, the large vein that returns blood to the heart from the head, neck and arms",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Symptomatic,symptomatic,,Tests & Imaging,A person is considered symptomatic when he exhibits functional evidence of a disease or condition.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Systolic Blood Pressure,systolic-blood-pressure,,Tests & Imaging;Symptoms & Monitoring,Pressure inside the arteries when the heart contracts with each beat.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Blood Pressure'
Tachycardia,tachycardia,,Symptoms & Monitoring,Abnormally fast heart rate.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
TAPVR,tapvr,,Conditions;Anatomy,"Total anomalous pulmonary venous return, where the pulmonary veins (which carry blood back from the lungs to the heart) don’t return blood to the heart in the normal manner",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Tetralogy of Fallot,tetralogy-of-fallot,,Conditions;Tests & Imaging;Anatomy,"A complex congenital heart malformation consisting of: 1) an opening in the wall between the lower heart chambers (ventricular septal defect), 2) a narrowing of the pulmonary valve (stenosis) and the muscular area just beneath",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;missing_period,
TGA,tga,,Conditions,"Transposition of the great arteries, usually is referring to D-TGA",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'D-TGA' | Normalized term is substring of another: vs 'L-TGA'
TOF,tof,,Conditions;Tests & Imaging;Anatomy,"Tetralogy of Fallot,a condition that consists of four heart defects — a large VSD, pulmonary stenosis, an enlarged aorta that sits right over the VSD, and a thickened right ventricle of the heart",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;missing_period;short_equals_full_definition,
"Transplantation, Heart",transplantation-heart,,Tests & Imaging,The replacement of a healthy heart from a recently deceased donor into the chest of a person whose own heart can no longer function adequately.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Transposition of the Great Vessels,transposition-of-the-great-vessels,,Conditions;Tests & Imaging;Devices & Equipment;Anatomy;Symptoms & Monitoring,"A congenital heart defect in which the aorta arises from the right, rather than left, ventricle and the pulmonary artery arises from the left, rather than the right, ventricle.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;definition_very_long;term_very_long,
Tricuspid Atresia,tricuspid-atresia,,Conditions;Tests & Imaging;Anatomy,"A severe congenital heart defect in which the valve between the upper right chamber, the atrium, and the lower right chamber, the ventricle, failed to form.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Atresia'
Tricuspid Valve,tricuspid-valve,,Anatomy,"The heart valve between the right atrium and right ventricle, comprised of three flaps or cusps.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Valve'
Truncus,truncus,,Anatomy,Truncus arteriosis. In the most common type the pulmonary artery and the aorta join together as a single blood vessel coming out of the right and left ventricles.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Persistent Truncus Arteriosus'
Ultrasound,ultrasound,,Tests & Imaging;Hospital & Care Journey,"High frequency sound vibrations, not audible to the human ear.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
Valve,valve,,Anatomy,An opening covered by membranous flaps between two chambers of the heart or between a chamber of the heart and a blood vessel.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Aortic valve' | Normalized term is substring of another: vs 'Bicuspid Valve' | Normalized term is substring of another: vs 'Mitral Valve' | Normalized term is substring of another: vs 'Mitral Valve Stenosis' | Normalized term is substring of another: vs 'Pulmonary Valve Stenosis' | Normalized term is substring of another: vs 'Pulmonic (pulmonary) Valve' | Normalized term is substring of another: vs 'Tricuspid Valve' | Normalized term is substring of another: vs 'Valve Conduit'
Valve Conduit,valve-conduit,,Anatomy,An artificial tubing with an artificial valve used in some congenital heart surgeries.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Valve'
Valvular Insufficiency,valvular-insufficiency,,Anatomy,Valves that close improperly and permit a backflow of blood.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Vascular,vascular,,General Medical Terms,Pertaining to the blood vessels.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Vectorcardiography,vectorcardiography,,Tests & Imaging,A special type of EKG.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Vein,vein,,Anatomy,"Any one of a series of vessels of the vascular system, which carries blood from various parts of the body back to the heart.",Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Venous Blood,venous-blood,,Devices & Equipment;Symptoms & Monitoring,Refers to blood returning to the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Ventilator,ventilator,,Devices & Equipment,A machine that breathes for a patient or helps his or her breathing,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Ventricle,ventricle,,Devices & Equipment;Anatomy;Symptoms & Monitoring,One of the two main pumping chambers of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Ventricular Septal Defect,ventricular-septal-defect,,Conditions;Tests & Imaging;Anatomy,"A congenital cardiac defect in which there is an abnormal opening in the wall, or septum, that divides the right and left lower heart chambers, called the ventricles.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;short_equals_full_definition,
VSD,vsd,,Conditions;Tests & Imaging;Anatomy,"Ventricular septal defect, a hole in the muscle wall that separates the right and left ventricles. ",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;category_count_high;short_equals_full_definition,
